Standard;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O;H2O+;H2O-;H2O-T;K2O;Li2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;B2O3;BaO;Cs2O;Cr2O3;CuO;NiO;Rb2O;SrO;WO3;ZnO;ZrO2;Oxide Sum;Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ni;O;Os;P;Pb;Pd;Pr;Pt;Ra;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Carbon Total;Carbon Inorga;Carbon Organic;Carbon Organic Calc;Ag-107;Ag-109;Ag-109/107;Ar-36;Ar-38/36;Ar-40/36;B-11/10;Ba-130/138;Ba-135/138;Ba-136/138;Cd-106;Cd-108;Cd-110;Cd-111;Cd-112;Cd-113;Cd-114;Cd-114/116;Cd-116;Ce-138/142;Cu-63;Cu-63/65;Cu-65;dC-13 -;dN-15 +;dO-18 Biotite;dO-18 K-feldspar;dO-18 Plagioclase;dO-18 Quartz;dO-18 Whole Rock;dS-34 +;dS-34 -;He-3/4;He-4;Hf-176/177;Kr-78/84;Kr-80/84;Kr-82/84;Kr-83/84;Kr-84;Kr-86/84;Li-7/6;Nd-142/144;Nd-143/144;Nd-145/144;Nd-146/144;Nd-148/144;Nd-150/144;Ne-20;Ne-20/22;Ne-21/22;NH4;Pb-204;Pb-206;Pb-207;Pb-208;Pb-206/204;Pb-207/204;Pb-208/204;Pb-208/206;Ra;Ra-226;Ra-228;Ra-228/226;Sm-147/Nd-14;Sr-87/86;Tl-203;Tl-205;Tl-205/203;Thorium Series Isotopes;Th-228/232;Th-230/232;U-series;U-234/238;U-238/235;V-51/50;Xe-128/132;Xe-129/132;Xe-130/132;Xe-131/132;Xe-132;Xe-134/132;Xe-136/132;Zn-68/64;Age;Loss on Ignition;Comment
NIST 612;Data Quality;Overall average;Overall average;;;;Overall average;;;;;Overall average;;Overall average;Overall average;Overall average;Overall average;Overall average;Overall average;;;;;;;;;;;;;Prefered average;;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;;;;Prefered average;Prefered average;;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;;Prefered average;Prefered average;Prefered average;Prefered average;;Prefered average;;Prefered average;;Prefered average;;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;;;Prefered average;Prefered average;Prefered average;;;Prefered average;Prefered average;;Prefered average;;;Prefered average;Prefered average;;;;Prefered average;Prefered average;Prefered average;;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;Prefered average;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIST 612 (2);Concentration;2.03;11.9;;;;;0.021;;;;;;;;13.7;;72.1;;;;;;;;;;;;;;22.0;;35.7;4.77;34.3;39.3;37.5;30.2;;;;28.1;38.4;142;35.5;36.4;42.7;37.8;35.5;38.0;35.6;80;51;36.9;37.3;36.1;;36.7;;38.3;;38.9;0.0045;62.3;36.0;40.2;37.0;68.0;38.7;37.4;;;38.9;35.5;38.8;;;46.6;38.57;1.05;37.9;2.51;;31.4;6.63;0.91;;377;34.7;39.9;16.3;;37.7;38.6;78.4;37.6;37.6;;37.79;44.0;14.9;36.8;37.38;38.8;38.0;38.3;39.2;39.1;37.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIST 612 (2);Uncertainty;0.04;0.1;;;;;;;;;;;;;0.3;;0.6;;;;;;;;;;;;;;0.3;;5.5;0.31;1.8;0.9;1.5;2.3;;;;1.1;0.7;58;1.0;1.5;1.8;1.5;0.7;0.9;0.8;89;2;1.5;0.9;3.8;;1.2;;0.8;;2.1;;2.4;0.7;1.3;0.9;5.1;0.9;1.5;;;2.1;0.7;0.2;;;6.9;0.20;0.10;1.0;0.10;;0.4;0.61;0.02;;70;1.8;2.5;1.9;;0.8;1.3;0.2;1.9;1.1;;0.08;2.3;0.5;0.6;0.08;1.2;1.1;1.4;0.9;1.7;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIST 612 (2);Units;%;%;;;;;%;;;;;;;;%;;%;;;;;;;;;;;;;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;ppm;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIST 612 (2);N;6;5;;;;;1;;;;;;;;8;;9;;;;;;;;;;;;;;8;;7;8;8;21;12;5;;;;9;31;5;22;17;14;15;26;24;24;3;6;11;25;4;;20;;22;;8;1;4;32;13;25;10;19;14;;;13;25;12;;;7;23;4;21;4;;18;6;4;;6;9;12;7;;25;10;25;13;21;;19;16;8;19;20;16;5;20;25;15;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIST 612 (2);Data Quality;Information value;Information value;;;;;Information value;;;;;;;;Information value;;Information value;;;;;;;;;;;;;;Certified value;;Information value;Information value;Information value;Reference value;Reference value;Information value;;;;Information value;Reference value;Information value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Information value;Certified value;Reference value;Reference value;Information value;;Reference value;;Reference value;;Reference value;Information value;Information value;Reference value;Reference value;Reference value;Information value;Reference value;Reference value;;;Reference value;Reference value;Certified value;;;Information value;Certified value;Information value;Reference value;Information value;;Certified value;Information value;Information value;;Information value;Information value;Reference value;Information value;;Reference value;Information value;Certified value;Reference value;Reference value;;Certified value;Reference value;Reference value;Reference value;Certified value;Reference value;Information value;Reference value;Reference value;Reference value;Reference value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIST 614;Concentration;2.04;11.90;0.0004;;;;0.019;;;;;;;;13.70;;72.10;;;;;;;;;;;;;;0.42;;0.74;0.48;1.49;3.20;0.753;0.581;;;;0.56;0.813;102.00;0.79;1.19;0.664;1.37;0.746;0.740;0.770;6.20;18.80;1.31;0.763;0.942;;0.711;;0.749;;0.79;0.002;30.00;0.720;1.69;0.732;33.80;1.42;0.80;;;0.824;0.752;1.10;;;11.40;2.32;2.05;0.768;2.36;;0.855;0.170;1.54;;291.00;0.790;0.74;0.40;;0.754;1.68;45.80;0.808;0.739;;0.748;3.61;0.273;0.732;0.823;1.01;0.806;0.790;0.777;2.79;0.848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIST 614;Uncertainty;0.05;0.20;;;;;;;;;;;;;0.30;;0.90;;;;;;;;;;;;;;0.04;;0.23;0.07;0.19;0.09;0.051;0.043;;;;0.05;0.025;84.00;0.09;0.12;0.034;0.07;0.022;0.017;0.016;;6.00;0.09;0.021;0.096;;0.022;;0.015;;0.05;;1.00;0.013;0.09;0.018;1.90;0.07;0.03;;;0.030;0.014;0.10;;;3.90;0.04;0.10;0.015;0.12;;0.005;0.008;0.18;;66.00;0.064;;0.08;;0.013;0.15;0.10;0.026;0.020;;0.006;0.25;0.020;0.020;0.002;0.04;0.071;0.032;0.021;0.38;0.028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIST 614;Units;%;%;%;;;;%;;;;;;;;%;;%;;;;;;;;;;;;;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;ppm;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIST 614;N;7;5;1;;;;1;;;;;;;;9;;7;;;;;;;;;;;;;;4;;4;8;8;21;11;8;;;;9;24;4;18;9;18;10;21;22;21;2;7;11;22;7;;20;;21;;9;1;4;23;11;21;11;12;16;;;18;22;9;;;6;23;4;21;4;;19;7;6;;4;12;2;5;;21;11;25;16;20;;22;13;9;19;20;18;7;19;23;15;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIST 614;Data Quality;Reference value;Reference value;Reference value;;;;Reference value;;;;;;;;Reference value;;Reference value;;;;;;;;;;;;;;Reference value;;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;;;;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;;Reference value;;Reference value;;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;;;Reference value;Reference value;Reference value;;;Reference value;Reference value;Reference value;Reference value;Reference value;;Reference value;Reference value;Reference value;;Reference value;Reference value;Reference value;Reference value;;Reference value;Reference value;Reference value;Reference value;Reference value;;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;Reference value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIST 616;Concentration;1.99;11.80;;;;;;;;;;;;;13.70;;72.50;;;;;;;;;;;;;;0.048;;0.20;0.189;0.94;2.31;0.028;0.021;;;;0.036;0.0292;;0.051;0.40;0.027;0.70;0.0173;0.0157;0.0146;;16.00;0.50;0.0162;0.283;;0.0154;;0.0169;;0.0302;;29.00;0.0298;0.895;0.0145;34.70;0.609;0.0879;;;0.0194;0.0227;0.435;;;13.00;1.85;1.77;0.0150;1.77;;0.104;0.0036;0.98;;;0.076;0.026;0.22;;0.0164;1.18;41.72;0.0299;0.0145;;0.0252;2.65;0.0081;0.0144;0.0721;0.228;0.043;0.0288;0.0171;1.33;0.0951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIST 616;Uncertainty;0.089;0.10;;;;;;;;;;;;;0.90;;0.70;;;;;;;;;;;;;;0.020;;;0.024;0.47;0.12;0.025;0.006;;;;;0.0011;;0.016;0.13;0.002;0.30;0.0014;0.0013;0.0007;;8.00;0.13;0.0024;0.039;;0.0018;;0.0031;;0.0035;;1.00;0.0032;0.059;0.0020;2.80;0.027;0.0130;;;0.0015;0.0031;0.100;;;10.00;0.04;0.13;0.0009;0.25;;0.004;0.0013;0.34;;;0.008;;;;0.0029;0.08;0.05;0.0055;0.0021;;0.0070;0.29;0.0012;0.0012;0.0013;0.015;0.004;0.0024;0.0023;0.27;0.0080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIST 616;Units;%;%;;;;;;;;;;;;;%;;%;;;;;;;;;;;;;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;;;;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;;ppm;;ppm;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;ppm;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;;;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIST 616;N;3;4;;;;;;;;;;;;;3;;3;;;;;;;;;;;;;;4;;2;6;4;9;3;5;;;;2;7;;7;5;6;3;6;6;5;;4;8;5;5;;7;;9;;6;;3;8;7;8;5;5;7;;;6;6;4;;;2;8;3;6;2;;8;2;2;;;6;1;1;;5;7;12;9;7;;8;5;8;7;10;7;6;6;7;7;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIST 616;Data Quality;Information value;Information value;;;;;;;;;;;;;Information value;;Information value;;;;;;;;;;;;;;Information value;;Information value;Information value;Information value;Information value;Information value;Information value;;;;Information value;Information value;;Information value;Information value;Information value;Information value;Information value;Information value;Information value;;Information value;Information value;Information value;Information value;;Information value;;Information value;;Certified value;;Information value;Information value;Information value;Information value;Information value;Information value;Information value;;;Information value;Information value;Information value;;;Certified value;Information value;Information value;Information value;Information value;;Information value;Information value;Information value;;;Information value;Information value;Information value;;Information value;Information value;Certified value;Information value;Information value;;Certified value;Information value;Information value;Information value;Certified value;Information value;Information value;Information value;Information value;Information value;Information value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOD-A-1;Concentration;3.87;15.40;;;15.60;;;;;;0.60;;4.76;23.90;1.00;1.40;3.81;0.53;;;;;;;;;;;;;;;;;;1670;;;;;;;730;;3110;;;1100;23;12;5;;;;26;;;;;;;;;;120;;2.2;;;448;;;;94;6360;;;;846;;;;;;;;;;;;;;21;;1750;;;;;;;;;770;;;14;590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOD-A-1;Uncertainty;0.060;0.054;;;0.060;;;;;;0.010;;0.016;0.065;0.008;0.016;0.047;0.007;;;;;;;;;;;;;;;;;;31;;;;;;;;;11;;;10;;;;;;;;;;;;;;;;;;;;;;9;;;;;24;;;;8;;;;;;;;;;;;;;;;14;;;;;;;;;6;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOD-A-1;Units;%;%;;;%;;;;;;%;;%;%;%;%;%;%;;;;;;;;;;;;;;;;;;ppm;;;;;;;ppm;;ppm;;;ppm;ppm;ppm;ppm;;;;ppm;;;;;;;;;;ppm;;ppm;;;ppm;;;;ppm;ppm;;;;ppm;;;;;;;;;;;;;;ppm;;ppm;;;;;;;;;ppm;;;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOD-A-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOD-A-1;Data Quality;Recommended value;Recommended value;;;Recommended value;;;;;;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;;;;;;;;;;;;Recommended value;;;;;;;Information value;;Recommended value;;;Recommended value;Information value;Information value;Information value;;;;Information value;;;;;;;;;;Information value;;Information value;;;Recommended value;;;;Information value;Recommended value;;;;Recommended value;;;;;;;;;;;;;;Information value;;Recommended value;;;;;;;;;Recommended value;;;Information value;Recommended value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOD-P-1;Concentration;4.80;3.10;;;8.30;;;;;;1.20;;3.30;37.60;2.20;0.46;13.90;0.50;;;;;;;;;;;;;;;;;;3350;;;;;;;290;;2240;;;11500;27;12;7.5;;;;28;;;;;;;;;;104;;1.8;;;760;;;;120;13400;;;;560;;;;;;;;;;;;;;30;;680;;;;;;;;;570;;;13;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOD-P-1;Uncertainty;0.092;0.016;;;0.044;;;;;;0.014;;0.014;0.100;0.006;0.005;0.034;0.003;;;;;;;;;;;;;;;;;;28;;;;;;;;;11;;;49;;;;;;;;;;;;;;;;;;;;;;4;;;;;64;;;;6;;;;;;;;;;;;;;;;3;;;;;;;;;10;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOD-P-1;Units;%;%;;;%;;;;;;%;;%;%;%;%;%;%;;;;;;;;;;;;;;;;;;ppm;;;;;;;ppm;;ppm;;;ppm;ppm;ppm;ppm;;;;ppm;;;;;;;;;;ppm;;ppm;;;ppm;;;;ppm;ppm;;;;ppm;;;;;;;;;;;;;;ppm;;ppm;;;;;;;;;ppm;;;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOD-P-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOD-P-1;Data Quality;Recommended value;Recommended value;;;Recommended value;;;;;;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;;;;;;;;;;;;Recommended value;;;;;;;Information value;;Recommended value;;;Recommended value;Information value;Information value;Information value;;;;Information value;;;;;;;;;;Information value;;Information value;;;Recommended value;;;;Information value;Recommended value;;;;Recommended value;;;;;;;;;;;;;;Information value;;Recommended value;;;;;;;;;Recommended value;;;Information value;Recommended value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCC-1;Concentration;0.675;0.52;0.15;2.72;8.25;5.06;;4.71;0.44;5.15;0.0072;;43.43;0.12;0.03;23;41.71;0.01;0.0005474;1.34E-04;;0.4;;0.3;;4.73E-05;;5.23E-03;0.00135;;0.008;3570;0.056;0.00079;1.7;1.2;0.05;0.008;0.44;420;3750;0.019;0.1;71;112;2730;0.0055;10;0.01;0.012;0.0018;12;5.77;0.7;0.014;0.94;5680;0.04;0.006;0.0025;0.185;0.0037;0.0048;60;0.052;1.6;0.0057;26.19;920;2;44;200;1;0.042;2380;46.5;0.007;10;10;0.0054;0.013;0.008;;0.066;0.058;0.0014;0.01;20;1.28;8.4;0.027;19.48;0.0066;1.6;0.4;0.02;0.0015;0.0031;0.013;80;0.0023;0.0027;0.0045;31;0.02;0.1;0.024;42;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;;;;;;;;;;;;;;;;;;;;;;;;5.12;
PCC-1;Uncertainty;0.062;0.06;0.04;0.39;0.23;0.23;;0.1;0.15;0.2;;;0.3;0.01;0.01;14;0.28;0.01;0.0001288;;;0.04;;0.02;;3.55E-06;;9.96E-04;0.00054;;0.004;330;0.008;0.00015;0.4;;0.05;0.003;0.17;100;430;0.003;0.02;5;8;260;0.0002;3;0.004;;0.0008;6;0.16;0.4;0.007;0.09;;0.03;0.003;0.0011;;0.0004;0.0015;;0.018;0.7;0.0014;0.18;70;2;3;100;0.6;0.01;170;0.3;0.004;6;3;0.0013;0.006;0.003;;0.006;;0.0004;0.0018;1;0.24;0.8;0.008;0.13;0.0018;0.8;0.03;0.02;0.0002;;0.004;40;0.0016;0.0004;0.0007;5;0.02;;0.005;8;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCC-1;Units;%;%;%;%;%;%;;%;%;%;%;;%;%;%;ppm;%;%;%;%;;%;;%;;%;;%;%;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pCi/g;;;;;;;;;;;;;;;;;;;;;;;;%;
PCC-1;;98;100;20;33;113;43;;34;31;26;41;;90;113;50;37;91;68;5;23;;91;;96;;21;;71;15;;16;98;6;24;5;23;9;7;3;20;100;13;14;16;97;91;6;81;4;4;16;10;113;15;3;8;2;8;27;6;2;5;23;41;17;11;16;90;113;15;5;50;7;8;96;9;8;37;53;18;4;16;;18;2;6;4;11;25;41;8;91;17;17;21;3;9;2;6;68;8;7;12;65;6;5;17;71;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;
PCC-1;Data Quality;Recommended value;Recommended value;Provisional value;Provisional value;Recommended value;Recommended value;;Certified value equivalent;Provisional value;Recommended value;Provisional value;;Certified value equivalent;Recommended value;Provisional value;Provisional value;Certified value equivalent;Provisional value;Provisional value;Provisional value;;Recommended value;;Recommended value;;Recommended value;;Recommended value;Provisional value;;Provisional value;Recommended value;Recommended value;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Recommended value;Provisional value;Recommended value;Certified value equivalent;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Certified value equivalent;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Recommended value;;Certified value equivalent;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;Provisional value;Recommended value;Provisional value;Recommended value;Provisional value;Recommended value;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;
PM-S;Concentration;17.15;12.48;0.22;1.43;10.1;7.8;;0.7;0.12;;0.14;;9.34;0.16;2.08;0.03;47;1.1;;0.0165242;;0.04589267;;;;0.03311308;;0.00746856;0.005265;;;9.07;0.2;;;148;0.5;;;;8.92;0.12;6.8;;49;314;0.35;59;2;1.1;1.07;100;7.06;16;2;;;1.12;;0.42;;;;1160;2.8;7.3;0.15;;1200;1.9;;1.54;2.6;5.5;115;;;130;2.5;;1.08;;;1;;;;1000;;34;;;1.75;3;280;0.18;0.36;;0.05;;0.04;0.17;0.03;192;0.3;11;1;60;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;
PM-S;Uncertainty;0.1;0.05;;0.12;0.06;0.2;;;;;0.004;;0.08;0.002;0.02;0.01;0.14;0.01;;0.00035728;;0.000818468;;;;0.000591305;;0.000186714;0.000216;;;0.05;;;;3.2;0.24;;;;0.04;;1.25;;1.7;5.6;0.06;1.6;0.1;0.06;0.04;;0.04;0.7;0.1;;;0.11;;0.03;;;;30;0.17;0.7;0.01;;15;0.4;;0.01;0.5;0.25;2.5;;;40;0.5;;0.16;;;0.3;;;;;;0.9;;;0.05;0.8;5;0.05;0.02;;0.04;;0.01;0.01;;5.1;0.26;0.5;0.05;1.5;1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PM-S;Units;%;%;%;%;%;%;;%;%;;%;;%;%;%;%;%;%;;%;;%;;;;%;;%;%;;;%;ppm;;;ppm;ppm;;;;%;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;;;ppm;;ppm;;;;ppm;ppm;ppm;ppm;;ppm;ppm;;%;ppm;ppm;ppm;;;ppm;ppm;;ppm;;;ppm;;;;ppm;;ppm;;;ppm;ppm;ppm;ppm;ppm;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;%;
